23,Construction and Renovation,"We''ll help you find the perfect contractor to match your needs, lets start with some simple questions",home,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/contractor.jpg
24,Packers & Movers,"We''ll find you the perfect provider to match your moving needs, lets start with some simple questions",home,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/packers-and-movers.jpg
26,Doorstep Laundry,Now get your clothes cleaned and ironed in 48 hours by our professionals will pick-up your clothes and drop it at a time convenient to you. Schedule a pick-up now.,home,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/doorsteplaundry.jpg
29,Web Designers & Developers,"﻿We''ll help you find the best Web Designers & Developers around you, lets start with some simple questions",business,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/web-designer.jpg
30,Income Tax Filing,"We''ll help you with your Tax Filing, lets start with some simple questions",business,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/tax-filing.jpg
31,CA for Small Business,"We''ll help you find the best Chartered Accountants for your business, lets start with some simple questions",business,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/CA-small-business.jpg
32,Company Registration,"We''ll help you find the best Chartered Accountants for registering your company, lets start with some simple questions",business,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/Company+Registration.jpg
33,CCTV Dealers,"We''ll help you find the best cctv dealers around you, lets start with some simple questions.",business,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/CCTV.jpg
34,PAN Card Registration,We'll help you find the best PAN Card agents who will get you your PAN Card in the quickest possible time.,business,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/PAN-card.jpg
35,Salon at Home,"﻿Our beauticians are skilled and background verified, using only genuine cosmetics. Book an appointment here",personal,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/booking/SalonAtHome2.jpg
36,Makeup Artist,"Our makeup artists are skilled and use the best products to help you look glamorous, just book an appointment here",personal,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/party-makeup-artists.jpg
37,Monthly Tiffin Service,"We''ll help you find the perfect healthy tiffin service, lets start with some simple questions.",personal,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/tiffin-service.jpg
38,Astrologer,"We''ll help you find the perfect astrologer to help with your issues, lets start with some simple questions",personal,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/astrology.jpg
39,Baby Photographers,"We''ll find you the perfect photographer to capture your baby''s priceless memories, lets start with some simple questions",personal,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/baby-photography.jpg
