"Our professional cleaning team will make your bathroom clean as new, just book an appointment here",Professional Bathroom cleaning,cleaners,a bathroom cleaner,bathroom cleaner,bathroom cleaning,bathroom cleaners,a bathroom cleaner,Bathroom Deep Cleaning,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/new/bathroom-deep-cleaning.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bathroom.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/bathroomcleaning.jpg,7,home
"Our professional cleaning team will make your kitchen clean as new, just book an appointment here",Professional Kitchen Cleaning,cleaners,a kitchen cleaner,kitchen cleaner,kitchen cleaning,kitchen cleaners,a kitchen cleaner,Kitchen Deep Cleaning,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/booking/KitchenCleaning.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home-cleaning.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/kitchencleaning.jpg,8,home
"Our professional cleaning team will make your carpet clean as new, just book an appointment here",Professional Carpet cleaning,cleaners,a carpet cleaner,carpet cleaner,carpet cleaning,carpet cleaners,a carpet cleaner,Carpet Cleaning,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/booking/CarpetCleaning.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/carpet-cleaners.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/carpetcleaning.jpg,9,home
"Our professional cleaning team will make your sofa clean as new, just book an appointment here",Professional Sofa cleaning,cleaners,a sofa cleaner,sofa cleaner,home cleaning,sofa cleaners,a sofa cleaner,Sofa Cleaning,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/sofa-cleaning.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/sofa.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/sofacleaning.jpg,10,home
"We''ll help you find the best servicemen for water tank cleaning that match your needs, lets start with some simple questions",Water Tank cleaning service,water tank cleaning services,a water tank cleaning service,Water Tank cleaning service,water_tank,Water Tank cleaning services,a Water Tank cleaning service,Water Tank Cleaning,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/booking/TankCleaning.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/water_tank_cleaning.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/water_tank_cleaning.jpg,11,home
Doorstep pick up and drop for mobile repair services. We have skilled and verified technicians.,Mobile Repair,Mobile repair services,a mobile repair service,technician,Mobile repair,technicians,a mobile repair service,Mobile Repair,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/booking/MobileRepair.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/mobile_repair.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/mobile_repair.jpg,12,home
"We''ll find you the perfect AC repair technician to match your needs, lets start with some simple questions",AC Service and Repair,AC Service,AC Service/Repair,ac technician,AC Service and Repair,ac technicians,an AC Service / Repair,AC Service and Repair,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/new/AC-repair.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/ac_service_repair.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/version-2-2/android/Android_AC.jpg,13,home
Doorstep pick up and drop off of all brand laptops needing repair. We have skilled and verified technicians. We provide 90 days warranty.,Laptop repair,Laptop repair services,a laptop repair service,technician,Laptop repair,technicians,a laptop repair service,Laptop Repair,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/booking/laptop.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/laptop_repair.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/laptop_repair.jpg,14,home
Get Served!,Bartender,bartenders,a bartender,bartender,bartending,bartenders,,Bartender,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/bartender.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bartender.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/version-2-2/android/bartender.jpg,53,eventsnweddings
Packer & Mover - Premium,Packer & Mover - Premium,Packer & Mover - Premium,Packer & Mover - Premium,Packer & Mover - Premium,Packer & Mover - Premium,Packer & Mover - Premium,Packer & Mover - Premium,Packer & Mover - Premium,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/packers-and-movers.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/packers.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/packers-and-movers.jpg,25,home
